subject,start,end,organizer,required attendees,optional attendees
Council of Apostles — Sinai,2025-06-01 14:30:00,2025-06-01 16:00:00,Apollos,Timothy;Hosea;Zephaniah;Rachel,Lucius;Enoch;Nehemiah
Tabernacle Service Coordination — Tiberias,2025-06-03 13:00:00,2025-06-03 17:00:00,Apphia,Bartholomew;Elisha;Enoch;Othniel,Nehemiah;Luke;Solomon
Farewell Address — Crete,2025-06-04 16:00:00,2025-06-04 18:30:00,Jonathan,Nicolas;Linus;Sarah;Stephanas;Hosea;Simeon_Temple;Solomon;Asa;Bartholomew;Trophimus;Daniel_Friend_Abednego;Moses,Abigail;Barnabas;Caleb
Letter Dictation — Nineveh,2025-06-05 08:00:00,2025-06-05 09:00:00,Barnabas,Ruth;Benjamin;Caius;Daniel_Friend_Abednego;Samuel;Thaddaeus;Ephraim;Haggai,Onesiphorus
Prophetic Word Hearing — Beersheba,2025-06-05 08:00:00,2025-06-05 11:00:00,John,Adam;Jeroboam;Japheth;Asa;Anna;Daniel_Friend_Abednego;Phinehas;Anna_Prophetess,Justus
Vision Interpretation Session — Philadelphia,2025-06-05 11:15:00,2025-06-05 12:15:00,Moses,Silas;Zephaniah;Mary,Onesimus;Jacob;Parmenas;Ham
Sanhedrin Hearing — Malta,2025-06-05 15:30:00,2025-06-05 16:15:00,Paul,Barak;Omri;Daniel_Friend_Meshach;James_Alphaeus,Micah;Matthias;Daniel;Job
Letter Dictation — Nazareth,2025-06-05 19:00:00,2025-06-05 20:30:00,Paul,Issachar;Nicanor;Dionysius;Achaicus;David;Malachi;Parmenas,Joseph_Barsabas;Damaris;Huldah;Deborah
Famine Relief Coordination — Jezreel,2025-06-08 10:00:00,2025-06-08 14:00:00,Paul,Lucius;Obadiah;Parmenas,Epaphras;Thomas;Shem;Isaac
Census Review — Beersheba,2025-06-09 07:45:00,2025-06-09 11:45:00,Adam,Elisha;Onesiphorus,Omri;Dionysius;Job
Prayer Vigil — Pergamum,2025-06-09 10:00:00,2025-06-09 10:30:00,Aaron,Omri;Jacob;Benjamin;Obadiah;Stephanas;Enoch;Asher;Joshua;Epaphroditus,
Deacon Selection — Tiberias,2025-06-09 18:30:00,2025-06-09 20:30:00,Barnabas,Timon;Nahum;Elijah;Daniel_Friend_Meshach;Japheth;Gideon;James_Zebedee;Jehoshaphat,Isaiah;Chloe
Sacrifice Order Briefing — Susa,2025-06-10 19:00:00,2025-06-10 19:30:00,Titus,Jeremiah;Boaz,Barnabas;Eli
School of Prophets — Mount_Horeb,2025-06-11 13:00:00,2025-06-11 14:30:00,Eutychus,Nahum;Esau;Jephthah;Rebekah;Adam;Leah;Junia;Habakkuk,Jehoshaphat
Synagogue Teaching Plan — Sardis,2025-06-11 14:00:00,2025-06-11 15:00:00,Parmenas,Esther;Reuben;Othniel;Ezekiel;Levi;Caius;Rufus;Jezebel,Zenas;Lucius;Apollos;Haggai;Simeon_Temple
Prophetic Word Hearing — Hierapolis,2025-06-12 10:00:00,2025-06-12 11:00:00,Rufus,Secundus;Naomi;Simeon;Jeroboam;Job;James_Alphaeus;Fortunatus;Gad,Mordecai
School of Prophets — Nineveh,2025-06-14 14:00:00,2025-06-14 15:30:00,Daniel,Enoch;Issachar;Daniel_Friend_Meshach;Rehoboam;Zebulun,Jethro;Samson
School of Prophets — Bethsaida,2025-06-14 15:00:00,2025-06-14 15:30:00,Elisha,Simon_Zealot;Archippus;Gaius_Derbe;Zipporah,David;Samuel;Job;Joel
Famine Relief Coordination — Haran,2025-06-15 08:20:00,2025-06-15 10:50:00,Joel,Adam;Isaac;Stephanas;Ruth;Manasseh_King;Bezaleel;Philemon;Zechariah;Boaz;Rufus;Luke;Archippus,Joseph_Barsabas;Barnabas;Simon_Zealot;John;Levi
Apostolic Letter Review — Alexandria,2025-06-15 19:45:00,2025-06-15 20:15:00,Daniel,Bartholomew;Gideon;Ruth;Daniel_Friend_Shadrach;Jethro,Stephen;Jonathan;Agabus;Nehemiah
Battle Strategy Session — Thyatira,2025-06-16 08:15:00,2025-06-16 09:15:00,Habakkuk,Silas;Agabus;Joseph_Barsabas;Gad_Prophet;Matthew;Caleb;Nathan;Daniel;Ezra;Aquila,Bartholomew;Rebekah;John_Baptist;Hezekiah
Prayer Vigil — Philadelphia,2025-06-16 14:00:00,2025-06-16 15:30:00,Paul,Judah;Elisha;Asa;Issachar;Aaron;Simeon;Mordecai;Isaac;Zenas;Jonathan,Nehemiah;Rehoboam;Nymphas;Ezra;Jeremiah
Tribal Council — Shiloh,2025-06-18 14:00:00,2025-06-18 18:00:00,Paul,Achaicus;Timon;Aaron;Jeroboam;Nymphas;David;Samuel;Manasseh_King,Obadiah;Cleopas;Naomi
Elders Meeting — Thessalonica,2025-06-18 14:15:00,2025-06-18 15:00:00,Omri,Rufus;Adam;Micah;Joseph_OT;Carpus;Crescens;Samuel,Joseph_NT;James_Zebedee;Malachi
Feast of Tabernacles Planning — Philadelphia,2025-06-19 08:45:00,2025-06-19 10:15:00,Barnabas,Ham;John_Baptist;Simeon,Timon;Cornelius;Dan
Synagogue Teaching Plan — Crete,2025-06-19 09:00:00,2025-06-19 09:45:00,Solomon,Chloe;Mark,Jethro;Stephen;Parmenas
Trial Preparation — Thessalonica,2025-06-19 14:20:00,2025-06-19 15:05:00,James_Alphaeus,Gad_Prophet;Levi;Agabus;Amos;Barnabas;Joel;Peter;Andronicus,Secundus
Discipleship Training — Susa,2025-06-19 16:20:00,2025-06-19 17:50:00,Timothy,Micah;Nicanor;Silas,Esau;Boaz;Joel;Archippus
Famine Relief Coordination — Alexandria,2025-06-20 15:00:00,2025-06-20 15:30:00,Ehud,Jephthah;Naphtali,
Temple Service Planning — Shechem,2025-06-21 09:30:00,2025-06-21 11:30:00,Parmenas,Simeon;James_Zebedee;Zerubbabel,
Prophetic Word Hearing — Antioch,2025-06-21 14:15:00,2025-06-21 15:45:00,Hosea,Judah;Gad;Joseph_OT;Anna;Caleb;Paul;Bathsheba;Matthew,Dan;Ruth;Archippus
Land Inheritance Meeting — Mount_Horeb,2025-06-23 09:45:00,2025-06-23 11:45:00,Zephaniah,Daniel_Friend_Abednego;Jeremiah;Junia;Dionysius;Crispus;Andrew;Tabitha;Philemon;Priscilla;Issachar,Naphtali;Ephraim;Chloe
Baptism Service Coordination — Gilgal,2025-06-24 08:30:00,2025-06-24 12:30:00,Cleopas,David;Sopater;Archippus;Sarah;Stephanas;Nahum;Gad_Prophet,Bezaleel
Missionary Strategy Session — Joppa,2025-06-24 14:00:00,2025-06-24 14:45:00,David,Omri;Bathsheba;Barnabas;Jacob;Simon_Zealot;Japheth;Simeon;Cornelius;Damaris,Archippus
Battle Strategy Session — Athens,2025-06-24 14:00:00,2025-06-24 14:30:00,Esther,Zechariah;Onesiphorus;Jephthah;Chloe;Anna;Bezaleel;Stephanas;Justus,Jonah;Lucius;Hosea;Ezra
Sacrifice Order Briefing — Hebron,2025-06-25 11:20:00,2025-06-25 13:50:00,Damaris,Hosea;Simon_Zealot;Nicanor;John;Mark;Naomi;Eli;Zedekiah;Barak;Saul,Joel;Elisabeth;Zebulun;Priscilla;Aquila
Letter Dictation — Berea,2025-06-25 19:15:00,2025-06-25 19:45:00,Mark,Asher;Carpus;Jephthah;Daniel_Friend_Abednego;Stephen;Manaen,Philip;Obadiah;Erastus;Caleb;Zebulun
Census Review — Antioch,2025-06-26 14:00:00,2025-06-26 15:30:00,Elisha,Philip_Deacon;Hosea;Phinehas;Abigail;Solomon;Saul;Agabus;Enoch;Ezra,Silas;Ephraim;Nymphas;Aholiab;Joseph_NT
Synagogue Teaching Plan — Jerusalem,2025-06-26 16:15:00,2025-06-26 20:15:00,Daniel_Friend_Shadrach,John_Baptist;Phinehas;Abraham;Daniel;Uzziah;Ahab;Priscilla;Thomas,Jehu
Feast of Tabernacles Planning — Nazareth,2025-06-26 16:45:00,2025-06-26 17:30:00,Jehu,John;Archippus;Stephanas;Paul;Othniel,Titus;Erastus
Discipleship Training — Caesarea,2025-06-28 09:20:00,2025-06-28 09:50:00,Achaicus,Simeon_Temple;Justus;Mary;Dionysius;Caius,Joel;Zephaniah;Onesimus
Elders Meeting — Rome,2025-06-28 09:45:00,2025-06-28 10:30:00,Philemon,John;Rachel;Ahab;Jehoshaphat;Gad,Epaphroditus;Enoch
Judges Assembly — Bethel,2025-06-28 11:00:00,2025-06-28 12:30:00,Isaiah,Ezra;John;Ezekiel;Uzziah;Timothy;Cleopas,Zephaniah;Thomas;Shamgar;Barnabas;Bezaleel
Breaking of Bread — Corinth,2025-06-29 09:15:00,2025-06-29 10:15:00,Elisha,Peter;Tabitha;Hezekiah;Jacob;Titus;Erastus;Samuel,Trophimus;Jonah;Aholiab;Nathan
Covenant Renewal Ceremony — Jezreel,2025-06-29 18:00:00,2025-06-29 18:45:00,Jeremiah,Abraham;Paul;Andronicus;Sosthenes,Bartholomew;Mordecai
Collection for the Saints — Patmos,2025-06-30 14:00:00,2025-06-30 18:00:00,John,Malachi;Epaphras;Jacob;Fortunatus;Philip,Jeremiah;Andronicus;Gad
Census Review — Ramah,2025-06-30 14:20:00,2025-06-30 16:50:00,Paul,Barak;Archippus;Damaris;Stephanas;Aholiab;Ehud,Josiah
Baptism Service Coordination — Jezreel,2025-06-30 15:15:00,2025-06-30 15:45:00,Demas,Nahum;Cornelius;Rebekah;Cleopas,Simeon_Temple;Andronicus
