timestamp,subject,organizer,duration,participant_count,type
2025-06-01 10:45:00,Judges Assembly — Shechem,Matthew,90,3,teams_meeting
2025-06-02 14:00:00,Apostolic Letter Review — Tarsus,Uzziah,60,15,teams_meeting
2025-06-02 14:15:00,Letter Dictation — Beersheba,Epaphroditus,10,3,teams_call
2025-06-02 14:45:00,Battle Strategy Session — Lystra,Judah,60,4,teams_meeting
2025-06-03 09:00:00,Discipleship Training — Nineveh,Mark,5,5,teams_chat
2025-06-03 10:20:00,Priestly Rotation Review — Megiddo,Timothy,90,13,teams_meeting
2025-06-03 10:45:00,Sacrifice Order Briefing — Alexandria,Peter,2,3,teams_chat
2025-06-03 11:15:00,Sacrifice Order Briefing — Beersheba,Timothy,15,2,teams_call
2025-06-04 14:30:00,Sanhedrin Hearing — Mount_Carmel,Matthias,10,3,teams_chat
2025-06-05 07:45:00,Land Inheritance Meeting — Gilgal,Shem,120,12,teams_meeting
2025-06-05 19:00:00,Passover Preparation — Nineveh,Jehu,45,13,teams_meeting
2025-06-06 14:45:00,Tabernacle Service Coordination — Caesarea,Erastus,3,3,teams_chat
2025-06-06 19:00:00,Breaking of Bread — Jericho,Ephraim,75,8,teams_meeting
2025-06-07 15:30:00,Discipleship Training — Bethlehem,Anna,5,3,teams_chat
2025-06-07 15:45:00,Vision Interpretation Session — Ephesus,Mark,60,5,teams_meeting
2025-06-08 14:30:00,Widow's Care Logistics — Tarsus,Peter,10,3,teams_chat
2025-06-09 09:00:00,Tabernacle Service Coordination — Tarsus,Mary,60,6,teams_meeting
2025-06-09 10:45:00,Priestly Rotation Review — Samaria,Apollos,30,9,teams_meeting
2025-06-09 14:30:00,Watchman Report — Pergamum,Peter,180,12,teams_meeting
2025-06-09 18:00:00,Letter Dictation — Ramah,Barnabas,8,3,teams_chat
2025-06-10 09:45:00,Collection for the Saints — Gilgal,Bathsheba,60,9,teams_meeting
2025-06-10 15:45:00,Collection for the Saints — Derbe,Zechariah,8,3,teams_chat
2025-06-10 19:30:00,Battle Strategy Session — Nazareth,Esther,2,4,teams_chat
2025-06-11 09:45:00,Widow's Care Logistics — Capernaum,Onesiphorus,90,10,teams_meeting
2025-06-11 16:45:00,Tabernacle Service Coordination — Corinth,Daniel,150,8,teams_meeting
2025-06-12 07:00:00,Battle Strategy Session — Berea,Rehoboam,5,2,teams_chat
2025-06-12 10:00:00,Watchman Report — Lystra,Barak,3,3,teams_chat
2025-06-12 10:20:00,Prophetic Word Hearing — Damascus,David,15,3,teams_call
2025-06-12 14:00:00,Farewell Address — Iconium,Bathsheba,60,13,teams_meeting
2025-06-13 08:20:00,Judges Assembly — Nazareth,Jeremiah,90,10,teams_meeting
2025-06-13 10:45:00,Judges Assembly — Thyatira,Samson,5,2,teams_chat
2025-06-14 07:00:00,Discipleship Training — Tiberias,Anna,10,3,teams_call
2025-06-14 08:20:00,Deacon Selection — Beersheba,Mark,60,16,teams_meeting
2025-06-15 10:00:00,Vision Interpretation Session — Smyrna,Solomon,45,17,teams_meeting
2025-06-16 08:30:00,Trial Preparation — Capernaum,Gaius_Derbe,30,2,teams_call
2025-06-16 09:00:00,Doctrinal Council — Dan,Eleazar,45,9,teams_meeting
2025-06-16 18:00:00,Deacon Selection — Sinai,Eli,150,17,teams_meeting
2025-06-18 09:00:00,Elders Meeting — Susa,Onesimus,45,7,teams_meeting
