subject,start,end,organizer,required attendees,optional attendees
Pentecost — Day of the Holy Spirit,2025-06-15 09:00:00,2025-06-15 12:00:00,Peter,John;Andrew;James_Zebedee;Philip;Thomas;Matthew;Bartholomew;James_Alphaeus;Simon_Zealot;Matthias;Paul,Barnabas
Jerusalem Council on Gentile Circumcision,2025-07-10 09:00:00,2025-07-10 17:00:00,James_Alphaeus,Peter;Paul;Barnabas;John;Andrew;Philip;Matthew;Thomas;Simon_Zealot;Matthias,James_Zebedee;Bartholomew
First Missionary Journey — Departure Blessing,2025-06-22 08:00:00,2025-06-22 09:30:00,Paul,Barnabas;Peter;James_Alphaeus,John;Andrew
Lord's Supper Commemoration — Antioch,2025-06-29 19:00:00,2025-06-29 21:00:00,Paul,Barnabas;Peter;Silas;Timothy,Philip;Matthew
Ephesian Elders Farewell Gathering,2025-07-20 08:00:00,2025-07-20 10:00:00,Paul,John;Timothy;Tychicus;Trophimus;Sopater;Aristarchus;Secundus,Philip;Andrew
Baptism of Cornelius Household,2025-08-07 10:00:00,2025-08-07 12:00:00,Peter,John;James_Zebedee;Cornelius,Andrew;Philip
Philippian Church Founding Service,2025-08-10 09:00:00,2025-08-10 11:00:00,Paul,Silas;Timothy;Luke;Lydia,Barnabas
Jerusalem Temple Prayer — Morning,2025-09-01 06:00:00,2025-09-01 07:00:00,Peter,John;James_Zebedee;Andrew;Matthew;Thomas;Simon_Zealot;Matthias;Bartholomew,Paul
Apostolic Review — Matthias Commission,2025-09-28 09:00:00,2025-09-28 12:00:00,Peter,John;Andrew;James_Zebedee;Philip;Thomas;Matthew;Bartholomew;James_Alphaeus;Simon_Zealot;Matthias;Paul,Barnabas
Roman Church Welcome Assembly,2025-08-28 09:00:00,2025-08-28 11:30:00,Paul,Peter;Priscilla;Aquila;Phoebe;Andronicus;Junia,John;Barnabas
Corinthian Love-Feast & Lord's Supper,2025-07-17 18:00:00,2025-07-17 20:30:00,Paul,Apollos;Chloe;Stephanas;Fortunatus;Achaicus,Peter;Barnabas
Revelation Vision — Patmos Sabbath,2025-08-21 06:00:00,2025-08-21 09:00:00,John,John,
Areopagus Address — Athens,2025-08-14 14:00:00,2025-08-14 15:30:00,Paul,Dionysius;Damaris;Silas;Timothy,Philip;Andrew
Choosing of the Seven Deacons — Jerusalem Assembly,2025-09-17 09:00:00,2025-09-17 11:30:00,Peter,John;James_Zebedee;Andrew;Philip;Stephen;Prochorus;Nicanor;Timon;Parmenas;Nicolas,Matthew;Simon_Zealot
Thessalonian Church Encouragement Visit,2025-09-10 10:00:00,2025-09-10 11:30:00,Paul,Silas;Timothy;Jason;Aristarchus,Barnabas;John
Peter & Cornelius Vision Debrief — Caesarea,2025-07-06 09:00:00,2025-07-06 11:00:00,Peter,John;Philip;Cornelius;Cornelius_household,Andrew
Paul's Farewell to Ephesian Elders — Miletus,2025-07-20 13:00:00,2025-07-20 15:00:00,Paul,Tychicus;Trophimus;Aristarchus;Sopater;Luke,John;Timothy
Breaking of Bread — Troas Upper Room,2025-08-03 20:00:00,2025-08-04 00:00:00,Paul,Silas;Timothy;Luke;Eutychus;Sopater;Aristarchus,John;Philip
Galatian Churches — Apostolic Letter Reading,2025-08-24 10:00:00,2025-08-24 11:30:00,Paul,Timothy;Titus;Barnabas,Peter;James_Alphaeus
Andrew's Mission to Greece — Sendoff,2025-10-01 08:00:00,2025-10-01 09:30:00,Andrew,Peter;Philip;Matthew;Matthias,Paul;John
