timestamp,user,channel,text
2025-06-02 08:45:00,Mark,#colossae,Believe on the Lord Jesus Christ. Acts 16:31
2025-06-02 19:30:00,Matthew,#philippi,All things work together for good. Rom 8:28
2025-06-03 16:45:00,John,#pergamum,"For in him we live, and move, and have our being. Acts 17:28"
2025-06-04 14:15:00,Phoebe,#iconium,Pray without ceasing. 1 Thess 5:17
2025-06-04 14:20:00,Silas,#rome,"I was hungred, and ye gave me meat. Matt 25:35"
2025-06-05 14:00:00,Paul,#sardis,"For in him we live, and move, and have our being. Acts 17:28"
2025-06-05 18:30:00,Prochorus,#thessalonica,"Now abideth faith, hope, charity. 1 Cor 13:13"
2025-06-06 09:30:00,Paul,#smyrna,He that is faithful in that which is least. Luke 16:10
2025-06-07 10:20:00,Paul,#patmos,Be ye kind one to another. Eph 4:32
2025-06-07 14:15:00,Mark,#thyatira,"Lord, teach us to pray. Luke 11:1"
2025-06-08 09:30:00,Paul,#thyatira,Ye are the salt of the earth. Matt 5:13
2025-06-08 14:00:00,Parmenas,#philippi,Let brotherly love continue. Heb 13:1
2025-06-08 14:00:00,Tabitha,#crete,Render unto Caesar the things which are Caesar's. Matt 22:21
2025-06-09 13:00:00,Secundus,#thyatira,Today shalt thou be with me in paradise. Luke 23:43
2025-06-10 14:00:00,Cleopas,#derbe,"All have sinned, and come short of the glory of God. Rom 3:23"
2025-06-11 10:00:00,Joseph_Barsabas,#philippi,I can do all things through Christ. Phil 4:13
2025-06-11 10:15:00,Peter,#ephesus,"Now abideth faith, hope, charity. 1 Cor 13:13"
2025-06-11 10:30:00,Carpus,#patmos,"Peace I leave with you, my peace I give unto you. John 14:27"
2025-06-11 13:45:00,Tabitha,#philadelphia,The truth shall make you free. John 8:32
2025-06-11 14:15:00,Thomas,#galatia,Let not your heart be troubled. John 14:1
2025-06-11 19:00:00,John,#tarsus,Blessed are they that mourn. Matt 5:4
2025-06-12 09:20:00,Tabitha,#patmos,"The fruit of the Spirit is love, joy, peace. Gal 5:22"
2025-06-13 09:45:00,Tabitha,#puteoli,Pray without ceasing. 1 Thess 5:17
2025-06-13 16:30:00,Aristarchus,#puteoli,Rejoice in the Lord alway. Phil 4:4
2025-06-14 08:30:00,Matthew,#tarsus,"Lord, teach us to pray. Luke 11:1"
2025-06-14 09:20:00,Junia,#iconium,All things work together for good. Rom 8:28
2025-06-15 09:15:00,Eutychus,#malta,It is more blessed to give than to receive. Acts 20:35
2025-06-15 10:20:00,Paul,#rome,Old things are passed away; all things are become new. 2 Cor 5:17
2025-06-15 18:30:00,Phoebe,#cyprus,Old things are passed away; all things are become new. 2 Cor 5:17
2025-06-16 08:30:00,Sosthenes,#damascus,We are his workmanship. Eph 2:10
2025-06-16 10:00:00,Linus,#miletus,Be ye kind one to another. Eph 4:32
2025-06-16 13:00:00,Gaius_Derbe,#puteoli,Perfect love casteth out fear. 1 John 4:18
2025-06-18 15:00:00,Prochorus,#puteoli,"Ask, and it shall be given you. Matt 7:7"
2025-06-18 16:00:00,Matthias,#pergamum,"The kingdom of God is righteousness, peace, and joy. Rom 14:17"
2025-06-19 19:30:00,Epaphroditus,#lystra,The same day there were added about three thousand souls. Acts 2:41
2025-06-20 08:45:00,Mary_Mark,#caesarea,"Where your treasure is, there will your heart be. Luke 12:34"
2025-06-20 09:45:00,James_Zebedee,#cyprus,Prove all things; hold fast that which is good. 1 Thess 5:21
2025-06-20 10:20:00,Thomas,#perga,"Go ye therefore, and teach all nations. Matt 28:19"
2025-06-20 15:30:00,Paul,#lystra,It is more blessed to give than to receive. Acts 20:35
2025-06-21 09:20:00,Thaddaeus,#athens,Render unto Caesar the things which are Caesar's. Matt 22:21
2025-06-21 10:00:00,Chloe,#philadelphia,Thy faith hath saved thee; go in peace. Luke 7:50
2025-06-22 10:45:00,Thomas,#iconium,"Give, and it shall be given unto you. Luke 6:38"
2025-06-23 08:45:00,Luke,#perga,"Be sober, be vigilant. 1 Pet 5:8"
2025-06-23 09:00:00,Simon_Zealot,#cyprus,All scripture is given by inspiration of God. 2 Tim 3:16
2025-06-23 09:15:00,Linus,#philippi,Be not conformed to this world. Rom 12:2
2025-06-23 10:00:00,Nicanor,#thessalonica,"Peace I leave with you, my peace I give unto you. John 14:27"
2025-06-24 07:15:00,Paul,#berea,It is finished. John 19:30
2025-06-24 10:30:00,Philip,#puteoli,The sabbath was made for man. Mark 2:27
2025-06-25 13:00:00,Secundus,#berea,Render unto Caesar the things which are Caesar's. Matt 22:21
2025-06-25 14:00:00,Cleopas,#sardis,Cast all your care upon him. 1 Pet 5:7
2025-06-25 18:00:00,Crispus,#galatia,In every thing give thanks. 1 Thess 5:18
2025-06-25 18:20:00,Gaius_Macedonia,#malta,Ye must be born again. John 3:7
2025-06-25 19:00:00,Epaphroditus,#galatia,Rejoice in the Lord alway. Phil 4:4
2025-06-26 08:20:00,Onesiphorus,#crete,We ought to obey God rather than men. Acts 5:29
2025-06-27 19:00:00,Joseph_Barsabas,#perga,"Be ye stedfast, unmoveable, always abounding. 1 Cor 15:58"
2025-06-28 08:20:00,Caius,#philippi,Be careful for nothing. Phil 4:6
2025-06-28 09:00:00,Luke,#crete,"We walk by faith, not by sight. 2 Cor 5:7"
2025-06-28 09:15:00,Olympas,#thessalonica,Man shall not live by bread alone. Luke 4:4
2025-06-29 18:00:00,Thomas,#joppa,"Lord, teach us to pray. Luke 11:1"
2025-06-30 08:45:00,Peter,#lystra,Blessed are the meek. Matt 5:5
2025-06-30 09:20:00,James_Alphaeus,#laodicea,"Judge not, that ye be not judged. Matt 7:1"
2025-06-30 19:00:00,Matthias,#samaria,Blessed are the pure in heart. Matt 5:8
2025-07-01 07:30:00,Cleopas,#philadelphia,I am the good shepherd. John 10:11
2025-07-01 09:30:00,Tabitha,#joppa,"If God be for us, who can be against us? Rom 8:31"
2025-07-01 14:20:00,Paul,#iconium,Blessed are the meek. Matt 5:5
2025-07-02 09:00:00,Paul,#thyatira,Be not forgetful to entertain strangers. Heb 13:2
2025-07-02 18:00:00,Paul,#troas,Submit yourselves therefore to God. James 4:7
2025-07-03 09:30:00,Paul,#colossae,The disciples were called Christians first in Antioch. Acts 11:26
2025-07-03 15:00:00,Quartus,#troas,Be ye kind one to another. Eph 4:32
2025-07-04 09:00:00,Manaen,#crete,"Take heed, and beware of covetousness. Luke 12:15"
2025-07-04 14:00:00,Bartholomew,#samaria,Be not forgetful to entertain strangers. Heb 13:2
2025-07-05 11:00:00,Thomas,#smyrna,Perfect love casteth out fear. 1 John 4:18
2025-07-08 10:45:00,Parmenas,#alexandria,I am the light of the world. John 8:12
2025-07-08 16:30:00,Eutychus,#athens,A new commandment I give unto you. John 13:34
