timestamp,user,channel,text
2025-06-01 10:30:00,Paul,#tribe_of_dan,Peace I leave with you. John 14:27
2025-06-02 09:30:00,James_Alphaeus,#pharisees,Ye are the salt of the earth. Matt 5:13
2025-06-02 10:20:00,Simeon_Temple,#church_at_philippi,"Unto us a child is born, unto us a son is given. Isa 9:6"
2025-06-03 07:20:00,Paul,#nazarites,Noah found grace in the eyes of the Lord. Gen 6:8
2025-06-03 10:45:00,Elisha,#tribe_of_judah,I have fought a good fight. 2 Tim 4:7
2025-06-04 09:30:00,Jonah,#tribe_of_dan,In every thing give thanks. 1 Thess 5:18
2025-06-04 11:00:00,Elijah,#the_twelve,"Lord, teach us to pray. Luke 11:1"
2025-06-04 14:20:00,Mordecai,#tribe_of_manasseh,It is finished. John 19:30
2025-06-04 14:20:00,Daniel_Friend_Abednego,#tribe_of_benjamin,"Love suffereth long, and is kind. 1 Cor 13:4"
2025-06-05 14:00:00,Jeremiah,#nehemiah_builders,"Saul, Saul, why persecutest thou me? Acts 9:4"
2025-06-05 15:20:00,Shem,#house_of_saul,Thou shalt love thy neighbour as thyself. Lev 19:18
2025-06-07 11:45:00,David,#levites,We ought to obey God rather than men. Acts 5:29
2025-06-08 09:00:00,Matthias,#church_at_philippi,God is no respecter of persons. Acts 10:34
2025-06-08 13:15:00,Naphtali,#church_at_rome,Ye are the salt of the earth. Matt 5:13
2025-06-08 14:00:00,Isaiah,#tribe_of_zebulun,Daniel purposed in his heart that he would not defile himself. Dan 1:8
2025-06-09 13:30:00,Judah,#minor_prophets,Lay not up for yourselves treasures upon earth. Matt 6:19
2025-06-09 14:45:00,Ezra,#the_seventy,Before I formed thee in the belly I knew thee. Jer 1:5
2025-06-10 08:20:00,Solomon,#tribe_of_asher,"Bless the Lord, O my soul. Ps 103:1"
2025-06-10 08:20:00,Elijah,#kings_of_israel,In every thing give thanks. 1 Thess 5:18
2025-06-10 16:30:00,Joshua,#judges_of_israel,"The Lord is with thee, thou mighty man of valour. Judg 6:12"
2025-06-11 07:00:00,Thaddaeus,#tribe_of_joseph,Charity never faileth. 1 Cor 13:8
2025-06-11 09:30:00,Paul,#tribe_of_asher,"Whither thou goest, I will go. Ruth 1:16"
2025-06-11 10:30:00,Isaiah,#davids_mighty_men,Be ye kind one to another. Eph 4:32
2025-06-11 10:30:00,Jason,#tribe_of_dan,The wages of sin is death. Rom 6:23
2025-06-11 11:30:00,Judah,#tribe_of_dan,Blessed are the meek. Matt 5:5
2025-06-11 14:15:00,Zedekiah,#church_at_rome,Ye are the light of the world. Matt 5:14
2025-06-13 09:45:00,Paul,#tribe_of_simeon,Perfect love casteth out fear. 1 John 4:18
2025-06-13 18:00:00,Crispus,#church_at_jerusalem,The Lord is my shepherd; I shall not want. Ps 23:1
2025-06-14 10:15:00,Simon_Zealot,#major_prophets,He was wounded for our transgressions. Isa 53:5
2025-06-14 14:00:00,Daniel,#sadducees,A soft answer turneth away wrath. Prov 15:1
2025-06-14 19:45:00,Epaphroditus,#church_at_rome,And the Word was made flesh. John 1:14
2025-06-15 08:00:00,Joel,#seven_churches_of_asia,The truth shall make you free. John 8:32
2025-06-15 08:00:00,Timothy,#kings_of_israel,Ye must be born again. John 3:7
2025-06-15 08:30:00,Barnabas,#church_at_corinth,Behold the Lamb of God. John 1:29
2025-06-15 10:20:00,Moses,#tribe_of_manasseh,"Come now, and let us reason together. Isa 1:18"
2025-06-15 10:20:00,Uzziah,#minor_prophets,"Speak, Lord; for thy servant heareth. 1 Sam 3:9"
2025-06-16 08:30:00,Daniel,#kings_of_judah,Thou shalt have no other gods before me. Ex 20:3
2025-06-16 10:00:00,Onesiphorus,#ezra_assembly,Train up a child in the way he should go. Prov 22:6
2025-06-16 13:00:00,Nehemiah,#church_at_philippi,"Behold, I make all things new. Rev 21:5"
2025-06-16 13:15:00,Epaphras,#major_prophets,A new commandment I give unto you. John 13:34
2025-06-16 15:15:00,Elisha,#kings_of_judah,They that wait upon the Lord shall renew their strength. Isa 40:31
2025-06-17 10:00:00,Isaiah,#kings_of_israel,"Come unto me, all ye that labour. Matt 11:28"
2025-06-17 13:15:00,Phinehas,#tribe_of_naphtali,The kingdom of God is within you. Luke 17:21
2025-06-17 19:30:00,Junia,#house_of_saul,"Bless the Lord, O my soul. Ps 103:1"
2025-06-18 14:30:00,Caleb,#house_of_david,God is a Spirit. John 4:24
2025-06-18 16:00:00,Philip_Deacon,#elders_jerusalem,Love worketh no ill to his neighbour. Rom 13:10
2025-06-19 10:15:00,Ezra,#kings_of_israel,Shall not the Judge of all the earth do right? Gen 18:25
2025-06-19 10:20:00,Matthew,#seven_churches_of_asia,Blessed are the peacemakers. Matt 5:9
2025-06-19 10:30:00,Jeremiah,#sanhedrin,It is finished. John 19:30
2025-06-19 13:15:00,Aaron,#nehemiah_builders,The sabbath was made for man. Mark 2:27
2025-06-19 15:20:00,Nicolas,#church_at_antioch,Before I formed thee in the belly I knew thee. Jer 1:5
2025-06-20 09:15:00,Paul,#elders_ephesus,Where two or three are gathered in my name. Matt 18:20
2025-06-20 14:30:00,Apollos,#seven_churches_of_asia,Honour thy father and thy mother. Ex 20:12
2025-06-20 19:30:00,Joseph_NT,#the_twelve,Jesus wept. John 11:35
2025-06-21 07:00:00,Luke,#levites,"God is light, and in him is no darkness. 1 John 1:5"
2025-06-22 08:00:00,Timothy,#elders_ephesus,"Saul, Saul, why persecutest thou me? Acts 9:4"
2025-06-23 10:45:00,Jephthah,#scribes,Put on the whole armour of God. Eph 6:11
2025-06-23 14:30:00,Rehoboam,#nazarites,Now faith is the substance of things hoped for. Heb 11:1
2025-06-24 08:15:00,Jeremiah,#davids_mighty_men,Set your affection on things above. Col 3:2
2025-06-24 09:30:00,Jeremiah,#scribes,All things work together for good. Rom 8:28
2025-06-24 09:45:00,Linus,#scribes,"Father, into thy hands I commend my spirit. Luke 23:46"
2025-06-25 13:00:00,Daniel,#gideons_three_hundred,"Do justly, love mercy, walk humbly with thy God. Mic 6:8"
2025-06-25 14:00:00,David,#sanhedrin,I am Alpha and Omega. Rev 1:8
2025-06-25 18:00:00,Simeon_Temple,#gideons_three_hundred,Get thee out of thy country. Gen 12:1
2025-06-26 08:20:00,Isaiah,#gideons_three_hundred,Peace I leave with you. John 14:27
2025-06-26 19:00:00,Apollos,#elders_of_israel,God loveth a cheerful giver. 2 Cor 9:7
2025-06-27 15:15:00,Barnabas,#tribe_of_manasseh,Peace I leave with you. John 14:27
2025-06-27 18:00:00,Issachar,#sons_of_korah,"All have sinned, and come short of the glory of God. Rom 3:23"
2025-06-28 09:00:00,Ezra,#tribe_of_levi,"I am the God of Abraham, Isaac, and Jacob. Ex 3:6"
2025-06-28 10:20:00,John,#kings_of_judah,Love worketh no ill to his neighbour. Rom 13:10
2025-06-28 13:15:00,Nicolas,#returnees_from_exile,"Call unto me, and I will answer thee. Jer 33:3"
2025-06-29 07:00:00,Prochorus,#pharisees,The Lord looketh on the heart. 1 Sam 16:7
2025-06-29 10:30:00,Mordecai,#tribe_of_joseph,The just shall live by his faith. Hab 2:4
2025-06-30 10:00:00,Rehoboam,#tribe_of_ephraim,Noah found grace in the eyes of the Lord. Gen 6:8
2025-06-30 10:15:00,Paul,#sons_of_korah,Silver and gold have I none. Acts 3:6
2025-07-01 07:30:00,David,#nehemiah_builders,In every thing give thanks. 1 Thess 5:18
2025-07-01 10:30:00,David,#tribe_of_naphtali,"All have sinned, and come short of the glory of God. Rom 3:23"
2025-07-01 14:00:00,Paul,#church_at_philippi,Surely I come quickly. Amen. Rev 22:20
2025-07-01 14:20:00,Manaen,#church_at_philippi,The Lord is my shepherd; I shall not want. Ps 23:1
2025-07-01 15:00:00,Paul,#sons_of_the_prophets,"Saul, Saul, why persecutest thou me? Acts 9:4"
2025-07-02 15:20:00,Ahab,#davids_mighty_men,I am the bread of life. John 6:35
2025-07-03 08:30:00,Junia,#church_at_rome,There is neither Jew nor Greek. Gal 3:28
2025-07-03 09:00:00,Priscilla,#tribe_of_gad,Shall not the Judge of all the earth do right? Gen 18:25
2025-07-03 09:30:00,Matthew,#minor_prophets,I am Alpha and Omega. Rev 1:8
2025-07-03 18:30:00,Crescens,#davids_mighty_men,By their fruits ye shall know them. Matt 7:20
2025-07-03 18:30:00,Aaron,#tribe_of_levi,Silver and gold have I none. Acts 3:6
2025-07-03 18:45:00,John,#tribe_of_asher,A friend loveth at all times. Prov 17:17
2025-07-04 09:45:00,Nehemiah,#judges_of_israel,"The Lord is with thee, thou mighty man of valour. Judg 6:12"
2025-07-04 15:00:00,Isaiah,#sons_of_asaph,The truth shall make you free. John 8:32
2025-07-04 18:30:00,Paul,#minor_prophets,"Lord, teach us to pray. Luke 11:1"
2025-07-05 10:00:00,Paul,#the_twelve,Surely I come quickly. Amen. Rev 22:20
2025-07-06 09:30:00,Elisha,#the_seventy,Put on the whole armour of God. Eph 6:11
2025-07-06 09:45:00,Naphtali,#deacons_seven,God is no respecter of persons. Acts 10:34
2025-07-06 11:00:00,Solomon,#kings_of_israel,"The fruit of the Spirit is love, joy, peace. Gal 5:22"
2025-07-06 14:00:00,Elisabeth,#kings_of_judah,They that wait upon the Lord shall renew their strength. Isa 40:31
2025-07-07 09:45:00,Lucius,#aaronic_priesthood,Let there be light. Gen 1:3
2025-07-07 14:45:00,Ephraim,#minor_prophets,It is not good that the man should be alone. Gen 2:18
2025-07-08 09:00:00,Paul,#minor_prophets,God loveth a cheerful giver. 2 Cor 9:7
2025-07-09 15:00:00,Gad,#tribe_of_levi,"Unto us a child is born, unto us a son is given. Isa 9:6"
2025-07-10 09:00:00,Agabus,#elders_of_israel,Be ye kind one to another. Eph 4:32
2025-07-12 10:20:00,Timothy,#returnees_from_exile,It is more blessed to give than to receive. Acts 20:35
2025-07-12 11:00:00,Nathan,#judges_of_israel,The sabbath was made for man. Mark 2:27
2025-07-12 13:45:00,Naomi,#tribe_of_asher,Here am I; send me. Isa 6:8
2025-07-12 14:30:00,Haggai,#royal_court_solomon,"Unto us a child is born, unto us a son is given. Isa 9:6"
2025-07-12 19:30:00,Isaiah,#tribe_of_zebulun,"Lord, teach us to pray. Luke 11:1"
2025-07-13 08:00:00,Aquila,#tribe_of_judah,Thou shalt love thy neighbour as thyself. Lev 19:18
2025-07-13 09:45:00,Issachar,#house_of_david,Have faith in God. Mark 11:22
2025-07-13 10:20:00,Elisha,#davids_mighty_men,"Bless the Lord, O my soul. Ps 103:1"
2025-07-14 07:30:00,Saul,#church_at_jerusalem,"Abide in me, and I in you. John 15:4"
2025-07-14 13:20:00,Elisabeth,#nehemiah_builders,"Jesus Christ the same yesterday, and to day. Heb 13:8"
2025-07-14 14:00:00,Aholiab,#scribes,A friend loveth at all times. Prov 17:17
2025-07-15 07:20:00,Judah,#church_at_ephesus,The just shall live by his faith. Hab 2:4
2025-07-15 08:30:00,Saul,#church_at_ephesus,Thy word is a lamp unto my feet. Ps 119:105
2025-07-15 15:15:00,Isaiah,#house_of_david,Greater love hath no man than this. John 15:13
2025-07-16 08:30:00,Mark,#church_at_philippi,Let not your heart be troubled. John 14:1
2025-07-16 09:30:00,Elijah,#the_twelve,Old things are passed away. 2 Cor 5:17
2025-07-16 10:00:00,Isaiah,#scribes,God is a Spirit. John 4:24
2025-07-16 10:20:00,John,#tribe_of_ephraim,Believe on the Lord Jesus Christ. Acts 16:31
2025-07-16 14:30:00,Thaddaeus,#school_of_prophets,They that wait upon the Lord shall renew their strength. Isa 40:31
2025-07-16 18:20:00,Jeremiah,#sons_of_korah,It is not good that the man should be alone. Gen 2:18
2025-07-17 09:00:00,Mark,#tribe_of_ephraim,The just shall live by his faith. Hab 2:4
2025-07-17 11:30:00,Uzziah,#returnees_from_exile,I am the light of the world. John 8:12
2025-07-17 15:30:00,Erastus,#nehemiah_builders,I am the bread of life. John 6:35
2025-07-17 19:00:00,Demetrius,#house_of_david,Believe on the Lord Jesus Christ. Acts 16:31
2025-07-18 08:15:00,Simon_Zealot,#tribe_of_judah,Thy word is a lamp unto my feet. Ps 119:105
2025-07-18 09:00:00,Bathsheba,#church_at_philippi,God loveth a cheerful giver. 2 Cor 9:7
2025-07-18 10:00:00,Jonathan,#kings_of_israel,I AM THAT I AM. Ex 3:14
2025-07-19 09:00:00,Zerubbabel,#sadducees,I am Alpha and Omega. Rev 1:8
2025-07-19 09:30:00,Nicanor,#church_at_ephesus,"If God be for us, who can be against us? Rom 8:31"
2025-07-19 18:30:00,Jonah,#sons_of_asaph,Blessed are the meek. Matt 5:5
2025-07-20 10:00:00,Daniel_Friend_Abednego,#sons_of_the_prophets,Train up a child in the way he should go. Prov 22:6
2025-07-20 19:00:00,Caleb,#the_three,"Jesus Christ the same yesterday, and to day. Heb 13:8"
2025-07-21 15:15:00,Aaron,#church_at_ephesus,The kingdom of God is within you. Luke 17:21
2025-07-21 19:45:00,Jeremiah,#tribe_of_joseph,Silver and gold have I none. Acts 3:6
2025-07-22 08:00:00,Paul,#tribe_of_benjamin,Is there not a cause? 1 Sam 17:29
2025-07-22 14:00:00,Mark,#tribe_of_asher,"Go ye therefore, and teach all nations. Matt 28:19"
